season,round,race_name,driver_id,driver_last_10_finish_mean,driver_gap_mean_last_10,driver_gap_trend_last_10,driver_consistency_index
2023,16,Japanese Grand Prix,bottas,13.2,0.6630636009375992,,3.011090610836314
2023,17,Qatar Grand Prix,bottas,14.1,0.7055212263794745,,3.5730472522297543
2023,18,United States Grand Prix,bottas,13.0,0.7609371845441169,,3.590109871422994
2023,19,Mexico City Grand Prix,bottas,13.2,0.8780943274012597,,3.4576806613039746
2023,20,São Paulo Grand Prix,bottas,13.2,0.9371833113046801,,3.4576806613039746
2023,21,Las Vegas Grand Prix,bottas,13.6,1.0105391689635905,,3.5339622081862765
2023,22,Abu Dhabi Grand Prix,bottas,14.1,1.2164654629594498,,3.6347092196090522
2024,1,Bahrain Grand Prix,bottas,14.8,1.0122901382841252,,3.852848873813295
2024,2,Saudi Arabian Grand Prix,bottas,15.3,1.1604565215040796,,4.056544780420337
2024,3,Australian Grand Prix,bottas,16.0,1.0426166426954135,,3.6209268304000615
2024,4,Japanese Grand Prix,bottas,15.7,0.9999211413058552,,3.6530048514126516
2024,5,Chinese Grand Prix,bottas,15.1,0.9257653734684523,,3.348299734359372
2024,6,Miami Grand Prix,bottas,16.3,0.8982470100642896,,2.5841396591085584
2024,7,Emilia Romagna Grand Prix,bottas,16.7,0.7812448170818336,,2.110818693198322
2024,8,Monaco Grand Prix,bottas,17.0,0.7671067548373992,,2.0548046676563043
2024,9,Canadian Grand Prix,bottas,16.7,0.6827995715513724,,2.406010991015794
2024,10,Spanish Grand Prix,bottas,16.3,0.5558408413926422,,2.668749186833064
2024,11,Austrian Grand Prix,bottas,16.0,0.6431810123328132,,2.4944382578492785
2024,12,British Grand Prix,bottas,15.7,0.5191814091582101,,2.263232692902377
2024,13,Hungarian Grand Prix,bottas,15.5,0.5637605741575431,,2.223610677354372
2024,14,Belgian Grand Prix,bottas,15.7,0.5555405555118952,,2.1628170930010935
2024,15,Dutch Grand Prix,bottas,15.8,0.6940106409819806,,2.097617696340284
2024,16,Italian Grand Prix,bottas,15.7,0.6246095768837826,0.006479222702914556,1.8885620632286855
2024,17,Azerbaijan Grand Prix,bottas,15.7,0.5933171005005168,0.00884973610071722,1.8885620632286855
2024,18,Singapore Grand Prix,bottas,15.5,0.5325806488876135,0.012538631054711308,1.7159383568311448
2024,19,United States Grand Prix,bottas,15.8,0.6251169301645764,-0.0005310995971823466,1.475729574745217
2024,20,Mexico City Grand Prix,bottas,16.2,0.6321052418528881,-0.00910056614212118,1.1352924243950562
2024,21,São Paulo Grand Prix,bottas,16.0,0.6099376594353056,-0.0025306054476327455,1.3333333333333028
2024,22,Las Vegas Grand Prix,bottas,15.7,0.6489109306568377,-0.02495494436657439,1.6363916944844534
2024,23,Qatar Grand Prix,bottas,16.0,0.5886080495043767,-0.04058885687516266,1.7638342073763704
2024,24,Abu Dhabi Grand Prix,bottas,15.5,0.603465715408267,-0.02782232222895119,2.368778400591967
2024,16,Italian Grand Prix,colapinto,15.555555555555555,0.49510079489807435,,2.505549396395468
2024,17,Azerbaijan Grand Prix,colapinto,14.777777777777779,0.6599729122984936,,2.3863035105460444
2024,18,Singapore Grand Prix,colapinto,13.88888888888889,0.77883142578936,,3.21886798597132
2024,19,United States Grand Prix,colapinto,13.333333333333334,0.7564986389041142,,3.240370349203924
2024,20,Mexico City Grand Prix,colapinto,12.666666666666666,0.7921445210274554,,3.240370349203926
2024,21,São Paulo Grand Prix,colapinto,12.11111111111111,0.7814733810563154,,2.803767306876785
2024,22,Las Vegas Grand Prix,colapinto,12.444444444444445,0.8086093394026405,,3.205897343611888
2024,23,Qatar Grand Prix,colapinto,12.555555555555555,0.9114781075185825,,3.244653722321961
2024,24,Abu Dhabi Grand Prix,colapinto,12.666666666666666,1.0147942220037443,,3.464101615137751
2022,16,Italian Grand Prix,de_vries,12.875,1.0546517385365322,,3.6425069859723136
2023,1,Bahrain Grand Prix,de_vries,12.444444444444445,0.9165909780447904,,3.643868518179238
2023,2,Saudi Arabian Grand Prix,de_vries,12.666666666666666,0.7591712148564963,,3.6742346141747637
2023,3,Australian Grand Prix,de_vries,13.333333333333334,0.7449820271814263,,3.240370349203924
2023,4,Azerbaijan Grand Prix,de_vries,13.777777777777779,0.8543615453728662,,3.1534813214040756
2023,5,Miami Grand Prix,de_vries,14.88888888888889,0.774330283018868,,3.407508050043468
2023,6,Monaco Grand Prix,de_vries,15.555555555555555,0.9681779521918003,,3.3582402799349675
2023,7,Spanish Grand Prix,de_vries,15.0,0.9220876874325609,,3.499999999999989
2023,8,Canadian Grand Prix,de_vries,15.0,0.68107845666333,,3.499999999999989
