season,round,race_name,driver_code,fp_session,fp_gap_to_best_seconds
2024,3,Australian Grand Prix,NOR,FP2,0.22
2024,3,Australian Grand Prix,NOR,FP3,1.302
2024,3,Australian Grand Prix,OCO,FP1,1.908
2024,3,Australian Grand Prix,OCO,FP2,1.177
2024,3,Australian Grand Prix,OCO,FP3,1.249
2024,3,Australian Grand Prix,PER,FP1,0.4
2024,3,Australian Grand Prix,PER,FP2,1.1245
2024,3,Australian Grand Prix,PER,FP3,0.1005
2024,3,Australian Grand Prix,PIA,FP1,2.02
2024,3,Australian Grand Prix,PIA,FP2,3.44
2024,3,Australian Grand Prix,PIA,FP3,0.3705
2024,3,Australian Grand Prix,RIC,FP1,0.949
2024,3,Australian Grand Prix,RIC,FP2,1.229
2024,3,Australian Grand Prix,RIC,FP3,1.5455
2024,3,Australian Grand Prix,RUS,FP1,2.6385
2024,3,Australian Grand Prix,RUS,FP2,0.916
2024,3,Australian Grand Prix,RUS,FP3,0.5505
2024,3,Australian Grand Prix,SAI,FP1,0.615
2024,3,Australian Grand Prix,SAI,FP2,0.657
2024,3,Australian Grand Prix,SAI,FP3,1.2555
2024,3,Australian Grand Prix,SAR,FP1,3.604
2024,3,Australian Grand Prix,SAR,FP2,1.0025
2024,3,Australian Grand Prix,STR,FP1,0.6385
2024,3,Australian Grand Prix,STR,FP2,1.0785
2024,3,Australian Grand Prix,STR,FP3,0.6525
2024,3,Australian Grand Prix,TSU,FP1,1.044
2024,3,Australian Grand Prix,TSU,FP2,1.204
2024,3,Australian Grand Prix,TSU,FP3,1.0575
2024,3,Australian Grand Prix,VER,FP1,0.0
2024,3,Australian Grand Prix,VER,FP2,0.0
2024,3,Australian Grand Prix,VER,FP3,0.0
2024,3,Australian Grand Prix,ZHO,FP1,1.728
2024,3,Australian Grand Prix,ZHO,FP2,1.571
2024,3,Australian Grand Prix,ZHO,FP3,1.5975000000000001
2024,4,Japanese Grand Prix,ALB,FP1,0.636
2024,4,Japanese Grand Prix,ALB,FP3,2.428
2024,4,Japanese Grand Prix,ALO,FP1,0.208
2024,4,Japanese Grand Prix,ALO,FP3,1.21
2024,4,Japanese Grand Prix,BOT,FP1,0.59
2024,4,Japanese Grand Prix,BOT,FP3,0.7945
2024,4,Japanese Grand Prix,GAS,FP1,1.157
2024,4,Japanese Grand Prix,GAS,FP3,1.794
2024,4,Japanese Grand Prix,HAM,FP1,2.3295
2024,4,Japanese Grand Prix,HAM,FP2,0.0
2024,4,Japanese Grand Prix,HAM,FP3,4.9555
2024,4,Japanese Grand Prix,HUL,FP1,1.7149999999999999
2024,4,Japanese Grand Prix,HUL,FP3,1.673
2024,4,Japanese Grand Prix,IWA,FP1,2.846
2024,4,Japanese Grand Prix,LEC,FP1,2.433
2024,4,Japanese Grand Prix,LEC,FP2,3.534
2024,4,Japanese Grand Prix,LEC,FP3,4.675
2024,4,Japanese Grand Prix,MAG,FP1,2.25
2024,4,Japanese Grand Prix,MAG,FP3,1.8725
2024,4,Japanese Grand Prix,NOR,FP1,1.8655
2024,4,Japanese Grand Prix,NOR,FP3,0.0
2024,4,Japanese Grand Prix,OCO,FP1,1.3780000000000001
2024,4,Japanese Grand Prix,OCO,FP3,3.4305
2024,4,Japanese Grand Prix,PER,FP1,0.0
2024,4,Japanese Grand Prix,PER,FP3,0.2365
2024,4,Japanese Grand Prix,PIA,FP1,2.041
2024,4,Japanese Grand Prix,PIA,FP2,1.6360000000000001
2024,4,Japanese Grand Prix,PIA,FP3,0.094
2024,4,Japanese Grand Prix,RIC,FP3,3.925
2024,4,Japanese Grand Prix,RUS,FP1,0.8055
2024,4,Japanese Grand Prix,RUS,FP3,5.024
2024,4,Japanese Grand Prix,SAI,FP1,2.542
2024,4,Japanese Grand Prix,SAI,FP3,0.802
2024,4,Japanese Grand Prix,SAR,FP1,1.9665
2024,4,Japanese Grand Prix,SAR,FP3,2.0035
2024,4,Japanese Grand Prix,STR,FP1,0.725
2024,4,Japanese Grand Prix,STR,FP3,1.162
2024,4,Japanese Grand Prix,TSU,FP1,0.554
2024,4,Japanese Grand Prix,TSU,FP2,5.72
2024,4,Japanese Grand Prix,TSU,FP3,2.572
2024,4,Japanese Grand Prix,VER,FP1,0.478
2024,4,Japanese Grand Prix,VER,FP3,0.03
2024,4,Japanese Grand Prix,ZHO,FP1,1.41
2024,4,Japanese Grand Prix,ZHO,FP3,1.6235
2024,5,Chinese Grand Prix,ALB,FP1,3.755
2024,5,Chinese Grand Prix,ALO,FP1,3.347
2024,5,Chinese Grand Prix,BOT,FP1,1.4865
2024,5,Chinese Grand Prix,GAS,FP1,2.8209999999999997
2024,5,Chinese Grand Prix,HAM,FP1,2.765
2024,5,Chinese Grand Prix,HUL,FP1,0.0
2024,5,Chinese Grand Prix,LEC,FP1,1.106
2024,5,Chinese Grand Prix,MAG,FP1,1.138
2024,5,Chinese Grand Prix,NOR,FP1,2.6715
2024,5,Chinese Grand Prix,OCO,FP1,0.809
2024,5,Chinese Grand Prix,PER,FP1,3.3455
2024,5,Chinese Grand Prix,PIA,FP1,2.1755
2024,5,Chinese Grand Prix,RIC,FP1,1.976
2024,5,Chinese Grand Prix,RUS,FP1,3.282
2024,5,Chinese Grand Prix,SAI,FP1,2.202
2024,5,Chinese Grand Prix,SAR,FP1,2.685
2024,5,Chinese Grand Prix,STR,FP1,0.876
2024,5,Chinese Grand Prix,TSU,FP1,2.118
2024,5,Chinese Grand Prix,VER,FP1,3.248
2024,5,Chinese Grand Prix,ZHO,FP1,0.667
2024,6,Miami Grand Prix,ALB,FP1,1.6949999999999998
2024,6,Miami Grand Prix,ALO,FP1,1.577
2024,6,Miami Grand Prix,BOT,FP1,1.6105
2024,6,Miami Grand Prix,GAS,FP1,1.087
2024,6,Miami Grand Prix,HAM,FP1,1.807
2024,6,Miami Grand Prix,HUL,FP1,3.204
2024,6,Miami Grand Prix,LEC,FP1,1.826
2024,6,Miami Grand Prix,MAG,FP1,3.322
2024,6,Miami Grand Prix,NOR,FP1,0.9705
2024,6,Miami Grand Prix,OCO,FP1,1.1365
2024,6,Miami Grand Prix,PER,FP1,2.355
2024,6,Miami Grand Prix,PIA,FP1,1.218
2024,6,Miami Grand Prix,RIC,FP1,1.928
2024,6,Miami Grand Prix,RUS,FP1,1.8515000000000001
2024,6,Miami Grand Prix,SAI,FP1,0.453
2024,6,Miami Grand Prix,SAR,FP1,2.337
2024,6,Miami Grand Prix,STR,FP1,1.302
2024,6,Miami Grand Prix,TSU,FP1,2.181
2024,6,Miami Grand Prix,VER,FP1,2.4050000000000002
2024,6,Miami Grand Prix,ZHO,FP1,0.0
2024,7,Emilia Romagna Grand Prix,ALB,FP1,2.7035
2024,7,Emilia Romagna Grand Prix,ALB,FP2,1.037
2024,7,Emilia Romagna Grand Prix,ALB,FP3,0.982
2024,7,Emilia Romagna Grand Prix,ALO,FP1,1.6115
2024,7,Emilia Romagna Grand Prix,ALO,FP2,0.828
2024,7,Emilia Romagna Grand Prix,ALO,FP3,1.6095000000000002
2024,7,Emilia Romagna Grand Prix,BEA,FP1,3.922
2024,7,Emilia Romagna Grand Prix,BOT,FP1,3.665
2024,7,Emilia Romagna Grand Prix,BOT,FP2,1.275
2024,7,Emilia Romagna Grand Prix,BOT,FP3,1.015
2024,7,Emilia Romagna Grand Prix,GAS,FP1,0.806
2024,7,Emilia Romagna Grand Prix,GAS,FP2,1.169
2024,7,Emilia Romagna Grand Prix,GAS,FP3,1.843
2024,7,Emilia Romagna Grand Prix,HAM,FP1,1.771
2024,7,Emilia Romagna Grand Prix,HAM,FP2,2.2045
2024,7,Emilia Romagna Grand Prix,HAM,FP3,0.822
2024,7,Emilia Romagna Grand Prix,HUL,FP1,3.7865
2024,7,Emilia Romagna Grand Prix,HUL,FP2,1.309
2024,7,Emilia Romagna Grand Prix,HUL,FP3,1.3075
2024,7,Emilia Romagna Grand Prix,LEC,FP1,2.549
2024,7,Emilia Romagna Grand Prix,LEC,FP2,3.2775
2024,7,Emilia Romagna Grand Prix,LEC,FP3,1.5510000000000002
2024,7,Emilia Romagna Grand Prix,MAG,FP2,2.9335
2024,7,Emilia Romagna Grand Prix,MAG,FP3,0.851
2024,7,Emilia Romagna Grand Prix,NOR,FP1,1.1179999999999999
2024,7,Emilia Romagna Grand Prix,NOR,FP2,3.923
2024,7,Emilia Romagna Grand Prix,NOR,FP3,0.138
2024,7,Emilia Romagna Grand Prix,OCO,FP1,1.9355
2024,7,Emilia Romagna Grand Prix,OCO,FP2,1.496
2024,7,Emilia Romagna Grand Prix,OCO,FP3,1.645
2024,7,Emilia Romagna Grand Prix,PER,FP1,0.0
